event_date	event_starttime	event_endtime	hpc_coord	hpc_bbox	sg_chirality	sg_orientation	sg_shape	sg_aspectratio	AR_NOAANUM	obs_instrument	SOL_standard
2011-10-27	2011-10-27T02:47:21	2011-10-27T02:47:21	POINT(-383.322 176.7042)	POLYGON((-442.0836 117.1206,-334.7052 113.0298,-323.301 235.9032,-427.0236 239.8272,-442.0836 117.1206))			Inverse-S Sigmoid	10.8059	1330	AIA_1	SOL2011-10-27T02:47:21L242C076
2011-10-27	2011-10-27T03:48:02	2011-10-27T03:48:02	POINT(596.3772 153.0942)	POLYGON((549.7212 108.8502,650.766 115.8444,638.136 197.2632,539.0478 190.4364,549.7212 108.8502))			Inverse-S Sigmoid	7.40275	1324	AIA_4	SOL2011-10-27T03:48:02L305C078
2011-10-27	2011-10-27T03:48:02	2011-10-27T03:48:02	POINT(-379.6878 184.548)	POLYGON((-433.0944 130.4868,-336.0732 126.8286,-325.3176 238.2642,-419.2368 241.7832,-433.0944 130.4868))			Inverse-S Sigmoid	6.2687	0	AIA_4	SOL2011-10-27T03:48:02L242C075
2011-10-27	2011-10-27T04:18:02	2011-10-27T04:18:02	POINT(-374.9568 184.3404)	POLYGON((-426.6888 132.0126,-332.6586 128.5218,-322.356 236.3454,-413.4768 239.7078,-426.6888 132.0126))			Inverse-S Sigmoid	11.8543	0	AIA_4	SOL2011-10-27T04:18:02L242C075
2011-10-27	2011-10-27T04:18:02	2011-10-27T04:18:02	POINT(589.2264 148.3932)	POLYGON((512.658 77.8032,674.046 88.7496,653.664 218.8086,497.1444 208.2726,512.658 77.8032))			Inverse-S Sigmoid	7.7947	1324	AIA_4	SOL2011-10-27T04:18:02L304C078
2011-10-27	2011-10-27T08:18:02	2011-10-27T08:18:02	POINT(-339.6276 180.2964)	POLYGON((-389.5368 129.9486,-297.8664 126.9306,-289.1298 230.3556,-378.114 233.2674,-389.5368 129.9486))			Inverse-S Sigmoid	17.8225	1330	AIA_4	SOL2011-10-27T08:18:02L242C075
2011-10-27	2011-10-27T09:17:21	2011-10-27T09:17:21	POINT(-332.3514 177.738)	POLYGON((-388.2036 121.3626,-285.0498 118.0542,-275.8044 233.7618,-375.6156 236.9418,-388.2036 121.3626))			Forward-S Sigmoid	13.7075	0	AIA_1	SOL2011-10-27T09:17:21L242C075
2011-10-27	2011-10-27T09:18:02	2011-10-27T09:18:02	POINT(-333.78 180.4254)	POLYGON((-381.2976 132.5286,-293.9772 129.7134,-285.7644 228.0612,-370.647 230.7822,-381.2976 132.5286))			Forward-S Sigmoid	8.24966	0	AIA_4	SOL2011-10-27T09:18:02L242C075
2011-10-27	2011-10-27T09:47:21	2011-10-27T09:47:21	POINT(727.326 123.0336)	POLYGON((655.92 58.86456,801.78 73.5294,784.326 187.2762,641.628 173.0238,655.92 58.86456))			Inverse-S Sigmoid	26.1336	1324	AIA_1	SOL2011-10-27T09:47:21L313C080
2011-10-27	2011-10-27T11:17:21	2011-10-27T11:17:21	POINT(-314.2872 176.676)	POLYGON((-371.1648 119.3304,-265.5546 116.1576,-256.8342 233.661,-358.9794 236.709,-371.1648 119.3304))			Forward-S Sigmoid	10.1115	0	AIA_1	SOL2011-10-27T11:17:21L242C075
2011-10-27	2011-10-27T12:18:02	2011-10-27T12:18:02	POINT(652.698 162.4428)	POLYGON((598.3062 111.8226,715.446 121.3068,699.45 212.9676,584.9202 203.7444,598.3062 111.8226))			Inverse-S Sigmoid	10.0398	1324	AIA_4	SOL2011-10-27T12:18:02L305C077
2011-10-27	2011-10-27T14:17:21	2011-10-27T14:17:21	POINT(720.018 124.6578)	POLYGON((669.846 78.1824,775.26 88.4898,762.822 171.162,659.088 161.0682,669.846 78.1824))			Forward-S Sigmoid	15.5735	1324	AIA_1	SOL2011-10-27T14:17:21L309C080
2011-10-27	2011-10-27T14:47:21	2011-10-27T14:47:21	POINT(277.3362 93.5232)	POLYGON((228.7674 46.11174,329.1954 48.6855,323.5734 140.9178,224.8602 138.4014,228.7674 46.11174))			Inverse-S Sigmoid	36.3704	1325	AIA_1	SOL2011-10-27T14:47:21L277C080
